#    L    TT             EE             TE             PP             TP          
   291    0.42567E+04    0.73486E+01    0.11209E+03    0.15354E+07    0.11338E+04
   292    0.42244E+04    0.75111E+01    0.11273E+03    0.15291E+07    0.11239E+04
   293    0.41923E+04    0.76744E+01    0.11333E+03    0.15228E+07    0.11140E+04
   294    0.41599E+04    0.78399E+01    0.11391E+03    0.15165E+07    0.11041E+04
   295    0.41276E+04    0.80061E+01    0.11444E+03    0.15103E+07    0.10944E+04
   296    0.40949E+04    0.81745E+01    0.11495E+03    0.15041E+07    0.10847E+04
   297    0.40622E+04    0.83428E+01    0.11542E+03    0.14979E+07    0.10750E+04
   298    0.40293E+04    0.85134E+01    0.11585E+03    0.14918E+07    0.10655E+04
   299    0.39964E+04    0.86855E+01    0.11625E+03    0.14858E+07    0.10560E+04
   300    0.39633E+04    0.88575E+01    0.11661E+03    0.14797E+07    0.10465E+04
   301    0.39302E+04    0.90310E+01    0.11693E+03    0.14737E+07    0.10371E+04
   302    0.38970E+04    0.92052E+01    0.11723E+03    0.14677E+07    0.10278E+04
   303    0.38638E+04    0.93809E+01    0.11749E+03    0.14618E+07    0.10186E+04
   304    0.38305E+04    0.95580E+01    0.11770E+03    0.14559E+07    0.10094E+04
   305    0.37973E+04    0.97352E+01    0.11789E+03    0.14501E+07    0.10002E+04
   306    0.37639E+04    0.99131E+01    0.11803E+03    0.14442E+07    0.99116E+03
   307    0.37305E+04    0.10092E+02    0.11813E+03    0.14385E+07    0.98215E+03
   308    0.36972E+04    0.10272E+02    0.11822E+03    0.14327E+07    0.97320E+03
   309    0.36639E+04    0.10453E+02    0.11825E+03    0.14270E+07    0.96432E+03
   310    0.36305E+04    0.10633E+02    0.11825E+03    0.14213E+07    0.95549E+03
   311    0.35973E+04    0.10815E+02    0.11820E+03    0.14156E+07    0.94673E+03
   312    0.35640E+04    0.10996E+02    0.11813E+03    0.14100E+07    0.93804E+03
   313    0.35308E+04    0.11179E+02    0.11801E+03    0.14044E+07    0.92940E+03
   314    0.34977E+04    0.11362E+02    0.11787E+03    0.13989E+07    0.92083E+03
   315    0.34646E+04    0.11544E+02    0.11768E+03    0.13933E+07    0.91232E+03
   316    0.34316E+04    0.11727E+02    0.11745E+03    0.13879E+07    0.90387E+03
   317    0.33987E+04    0.11909E+02    0.11718E+03    0.13824E+07    0.89548E+03
   318    0.33659E+04    0.12093E+02    0.11688E+03    0.13770E+07    0.88716E+03
   319    0.33332E+04    0.12276E+02    0.11655E+03    0.13716E+07    0.87890E+03
